Name,Link
Covenant House New York,https://ny.covenanthouse.org/donation-form/
The Hoboken Shelter,https://www.paypal.com/donate/?cmd=_s-xclick&hosted_button_id=94PJBQ6EPFX8A&ssrt=1712332305402
The Bowery Mission - Tribeca Campus,https://www.bowery.org/donate-now/?journitygroup=View+%24+Donor+Form&s_src=B-Web&s_subsrc=DPG
Mainchance Drop-In Center,http://www.grandcentralneighborhood.org/donations/
St. Lucy's Emergency Shelter,https://giving.classy.org/campaign/573377/donate
HRA Men's Shelter,https://www.coalitionforthehomeless.org/donate/
York Street Project,https://yorkstreetproject.app.neoncrm.com/forms/donate-portal
BRC,https://www.brc.org/donate
Antonio Olivieri Center,https://www.coalitionforthehomeless.org/donate/
Center For Urban Community Services,https://www.classy.org/give/106851/#!/donation/checkout
HELP USA,https://www.helpusa.org/?form=donate
Project Renewal Third Street Men's Shelter,https://host.nxt.blackbaud.com/donor-form/?envid=p-l7IPEIwKTk-ZavxbPAL7Lg&formId=b59218c6-8034-456f-a68d-4d5b0d26e3a5&svcid=renxt&zone=usa
Coalition For The Homeless,https://www.coalitionforthehomeless.org/donate/
Care For The Homeless,https://www.careforthehomeless.org/make-a-donation/?_ga=2.224317147.1940574845.1712333188-757580093.1712333188&_gl=1*3unnc3*_ga*NzU3NTgwMDkzLjE3MTIzMzMxODg.*_ga_BJGMFZQRR4*MTcxMjMzMzE4OC4xLjAuMTcxMjMzMzE4OC42MC4wLjA.
Neighborhood Coalition For Shelter,https://www.ncsinc.org/donate
Hope House,https://hopehouse.nyc/donate/
Urban Family Center,https://support.henrystreet.org/give/506077/#!/donation/checkout
The Partnership to End Homelessness,https://partnershiptoendhomelessness.org/?form=FUNKYLEKXHS
Nazareth housing - Louise's Pantry,https://nazarethhousingnyc.org/donate/
Samaritan Village,https://samaritandaytopfdn.givecloud.co/give
Urban Pathways Inc,https://www.brc.org/donate
Project Renewal New Providence Women's Shelter,https://host.nxt.blackbaud.com/donor-form/?envid=p-l7IPEIwKTk-ZavxbPAL7Lg&formId=b59218c6-8034-456f-a68d-4d5b0d26e3a5&svcid=renxt&zone=usa
Overnight Shelter For Men & Women [The Bowery Mission],https://www.bowery.org/donate-now/?journitygroup=View+%24+Donor+Form&s_src=B-Web&s_subsrc=DPG
Ready Willing And Able,https://www.doe.org/programs/ready-willing-able/?campaign=488686
Ali Forney Center,https://www.aliforneycenter.org/donate
St Francis Residence II,https://www.stfrancisfriends.org/donate
St Vincent De Paul Pro-Life Homeless Inc.,https://www.svdparchnewyork.org/donate/
Common Ground Andrews,https://breakingground.org/donate/
Covenant House International,https://www.covenanthouse.org/get-involved/ways-to-give/donate-now
The Bowery Mission - Flagship Campus,https://www.bowery.org/donate-online/?c_src=B-Web&c_src2=DPG-T
Midway Living,https://www.daffy.org/charities/814594389-midway-living-brooklyn-ny
Emergency Shelter Network,https://emergencyshelternetwork.org/donate/
Urban Pathways,https://urbanpathways.org/ways-to-donate/give-today/
Nazareth Housing,https://nazarethhousingnyc.org/donate/
Homes For The Homeless,https://www.hfhnyc.org/get-involved/donate/
Travelers Hotel,https://travelerschampionship.com/in-kind-donations/
St Joseph's Home,https://givetostjosephs.org/
Atlantic Armory Shelter,https://www.armory.nyc/donate
Bowery Residential Committee,https://www.bowery.org/donate-online/?c_src=B-Web&c_src2=DPG-T
George Daly House,https://www.paypal.com/donate/?hosted_button_id=RZ3HULSZ7QWBL
CORE Services Group,https://give.propublica.org/give/498623/#!/donation/checkout
Kianga House HDFC Inc,https://thebnia.org/donate-now/
Borden Avenue Veterans Residence,https://www.communityforacause.org/donations
Tillary Street Women's Shelter,https://iclinc.org/donate/
Homelessness Prevention Prog,https://www.nyc.gov/site/dhs/about/donations.page
The Salvation Army Brooklyn Bedford Corps Community Center,https://give.salvationarmy.org/give/173597/#!/donation/checkout
Harmoñia Hotel,https://www.coalitionforthehomeless.org/donate/
Volunteers Of America,https://www.voa.org/?form=give&recurring=once
New Destiny Housing,https://newdestinyhousing.org/ways-to-give/donate/
Hope For Our Neighbors In Need,https://www.hfny.org/donate
Providence House Inc,https://www.providencehouse.org/donate
Brooklyn Community Housing & Services,https://bchands.org/donate/
Genesis Transitional Housing Ministries Inc.,https://www.gthm-inc.com/
Bowery Residents' Committee,"https://www.brc.org/donate#:~:text=Online%20Donation%20Form&text=At%20BRC%2C%20we%20are%20fully,email%20mguadalupe%40brc.org."
Hearts Of Gold Inc,https://interland3.donorperfect.net/weblink/WebLink.aspx?name=E346004&id=1
Sanctuary For Families,https://secure2.convio.net/sffny/site/Donation2;jsessionid=00000000.app20023a?1400.donation=form1&df_id=1400&mfc_pref=T&NONCE_TOKEN=A953CD3FB16FB1FDC5DAE906BBF3E92E
American Homestay,https://usahomestays.kindful.com/
Lower Eastside People Mutual,https://associationforneighborhoodandhousingdevelopment-bloom.kindful.com/?campaign=1279485
Praxis Housing Initatives Inc,https://www.paypal.com/donate?token=2Y5NHX9_YxAB3DnMA_l4K6OHs1JZY-87CVePLGd2DY80fia_5BiO5G64uXVSg9lqcKDHYAf2T0kha6I9
Coalition For The Homeless - Food Distribution Center,https://www.coalitionforthehomeless.org/donate/
